Date_of_Occurrence,Time_of_Occurrence,City,Crime_Type,Victim_Age,Victim_Gender,Crime_Risk_Level,Total_Crimes,Avg_Rating_T,Bad_Review_T,Drugs_Safety_ViolentCrimes_T,Good_Review_T,Street_Scams_Fraud_T,Avg_Rating_H,Total_Hotels,Bad_Review_Count_H,Good_Review_Count_H,Street_Scams_Fraud_Count_H,Drugsafety_Violentcrimes_Count_H
01/01/2022,20:19,Mumbai,SHOPLIFTING,69,M,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/01/2022,18:10,Surat,CYBERCRIME,22,F,Medium,204,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.671963678,881,693,139,34,4
01/01/2022,07:37,Visakhapatnam,SEXUAL ASSAULT,41,M,High,110,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.319905213,3376,2578,588,158,22
01/01/2022,20:53,Delhi,PUBLIC INTOXICATION,52,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/01/2022,16:24,Bangalore,SEXUAL ASSAULT,19,F,High,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/02/2022,01:37,Kolkata,COUNTERFEITING,72,M,Medium,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/02/2022,08:12,Bhopal,DOMESTIC VIOLENCE,69,M,Medium,116,4.274793388,258485,36068,41867863,8441585,3.42509832,2797,2077,507,112,21
01/02/2022,12:05,Chennai,ARSON,27,M,High,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/02/2022,06:00,Varanasi,SEXUAL ASSAULT,28,M,High,56,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.49732334,1868,1454,352,48,12
01/02/2022,17:45,Delhi,IDENTITY THEFT,21,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/02/2022,04:38,Nagpur,DOMESTIC VIOLENCE,40,F,Medium,213,4.20608339,228779,18062,2212756,4681599,3.400094473,2117,1463,529,117,7
01/02/2022,04:05,Surat,COUNTERFEITING,28,F,Medium,204,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.671963678,881,693,139,34,4
01/02/2022,11:58,Mumbai,PUBLIC INTOXICATION,25,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/02/2022,08:32,Nashik,ILLEGAL POSSESSION,72,M,Medium,72,4.352486355,536813,15023,52417946,8041219,3.705965909,704,522,139,38,1
01/02/2022,07:49,Delhi,ROBBERY,37,M,High,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/02/2022,04:18,Srinagar,SHOPLIFTING,44,F,Medium,57,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.970479705,271,207,55,8,1
01/02/2022,19:27,Patna,IDENTITY THEFT,22,M,Medium,112,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.810501382,2533,1919,530,65,14
01/02/2022,16:06,Kolkata,BURGLARY,65,F,Medium,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/02/2022,12:19,Ahmedabad,ROBBERY,75,F,High,292,4.323777493,1281684,18810,140857519,31781697,3.209224917,2103,1671,351,73,8
01/02/2022,13:41,Chennai,PUBLIC INTOXICATION,19,F,Medium,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/02/2022,01:50,Mumbai,SEXUAL ASSAULT,49,M,High,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/03/2022,19:10,Nagpur,ASSAULT,25,M,Medium,213,4.20608339,228779,18062,2212756,4681599,3.400094473,2117,1463,529,117,7
01/03/2022,01:50,Bangalore,DRUG OFFENSE,40,M,Medium,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/03/2022,06:59,Mumbai,CYBERCRIME,52,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/03/2022,22:13,Pune,VANDALISM,47,M,Medium,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/03/2022,17:38,Ghaziabad,VANDALISM,13,M,Medium,113,4.362302483,1271433,7079,5245914,2282573,2.823379275,3918,3026,574,291,16
01/03/2022,13:40,Pune,IDENTITY THEFT,20,M,Medium,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/03/2022,15:06,Kanpur,CYBERCRIME,13,F,Medium,181,4.294280443,50461,11101,8157518,2081919,3.855245232,2936,1680,1095,114,8
01/03/2022,23:31,Delhi,DOMESTIC VIOLENCE,52,M,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/03/2022,22:37,Mumbai,KIDNAPPING,69,F,High,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/03/2022,08:07,Hyderabad,ROBBERY,20,F,High,515,4.274544445,3195806,218055,277947015,84152124,3.616645649,3965,2622,1131,161,16
01/03/2022,21:12,Lucknow,DRUG OFFENSE,34,M,Medium,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/03/2022,20:47,Agra,TRAFFIC VIOLATION,12,M,Low,140,4.312571618,2144546,381097,304097743,63371614,3.559821096,2683,1900,692,75,9
01/03/2022,14:46,Mumbai,HOMICIDE,76,M,High,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/03/2022,22:38,Pune,ROBBERY,69,M,High,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/03/2022,21:59,Delhi,FRAUD,11,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/03/2022,19:19,Meerut,SEXUAL ASSAULT,55,F,High,68,4.229116945,28668,9215,2926969,902148,3.914225941,1434,919,440,40,13
01/03/2022,20:09,Visakhapatnam,FIREARM OFFENSE,29,F,High,110,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.319905213,3376,2578,588,158,22
01/03/2022,16:19,Pune,SEXUAL ASSAULT,40,F,High,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/04/2022,13:57,Rajkot,ASSAULT,36,M,Medium,52,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.424731183,186,154,20,11,1
01/04/2022,19:12,Jaipur,FRAUD,46,F,Medium,211,4.235464114,2692714,145038,264807021,84002227,3.683488647,15238,11161,3450,471,57
01/04/2022,23:43,Chennai,VANDALISM,29,F,Medium,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/04/2022,22:35,Indore,EXTORTION,66,F,High,125,4.210236654,404741,32059,40637454,9521746,3.780066959,3883,2897,810,123,22
01/04/2022,05:57,Chennai,KIDNAPPING,16,M,High,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/04/2022,03:57,Lucknow,VANDALISM,65,M,Medium,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/04/2022,04:10,Lucknow,HOMICIDE,27,M,High,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/04/2022,16:59,Visakhapatnam,TRAFFIC VIOLATION,68,F,Low,110,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.319905213,3376,2578,588,158,22
01/04/2022,17:50,Mumbai,DRUG OFFENSE,74,M,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/04/2022,19:07,Pune,ARSON,25,F,High,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/04/2022,00:22,Mumbai,BURGLARY,58,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/04/2022,01:41,Vasai,ILLEGAL POSSESSION,18,F,Medium,62,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/04/2022,13:05,Kanpur,VANDALISM,78,M,Medium,181,4.294280443,50461,11101,8157518,2081919,3.855245232,2936,1680,1095,114,8
01/04/2022,20:42,Lucknow,SEXUAL ASSAULT,28,F,High,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/04/2022,15:55,Chennai,VANDALISM,11,F,Medium,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/04/2022,00:12,Delhi,SHOPLIFTING,45,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/04/2022,02:02,Ludhiana,ILLEGAL POSSESSION,70,F,Medium,123,4.210769231,721108,5077,4176415,156240,4.129953917,2170,1393,643,121,11
01/05/2022,00:09,Kolkata,DOMESTIC VIOLENCE,47,F,Medium,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/05/2022,13:15,Indore,VEHICLE - STOLEN,38,M,Medium,125,4.210236654,404741,32059,40637454,9521746,3.780066959,3883,2897,810,123,22
01/05/2022,17:41,Agra,BURGLARY,43,M,Medium,140,4.312571618,2144546,381097,304097743,63371614,3.559821096,2683,1900,692,75,9
01/05/2022,00:56,Ghaziabad,ASSAULT,13,M,Medium,113,4.362302483,1271433,7079,5245914,2282573,2.823379275,3918,3026,574,291,16
01/05/2022,20:18,Kolkata,SEXUAL ASSAULT,31,F,High,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/05/2022,01:03,Patna,SHOPLIFTING,49,F,Medium,112,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.810501382,2533,1919,530,65,14
01/05/2022,18:44,Chennai,TRAFFIC VIOLATION,25,M,Low,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/05/2022,04:01,Vasai,TRAFFIC VIOLATION,68,M,Low,62,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/05/2022,08:33,Bangalore,DOMESTIC VIOLENCE,55,F,Medium,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/05/2022,18:47,Chennai,COUNTERFEITING,45,M,Medium,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/05/2022,17:50,Nagpur,KIDNAPPING,44,M,High,213,4.20608339,228779,18062,2212756,4681599,3.400094473,2117,1463,529,117,7
01/05/2022,02:19,Lucknow,FRAUD,20,M,Medium,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/05/2022,18:57,Patna,ROBBERY,73,M,High,112,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.810501382,2533,1919,530,65,14
01/05/2022,03:40,Delhi,FIREARM OFFENSE,71,M,High,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/06/2022,21:04,Mumbai,SHOPLIFTING,25,M,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/06/2022,03:21,Bangalore,BURGLARY,10,F,Medium,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/06/2022,19:29,Pune,ILLEGAL POSSESSION,70,F,Medium,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/06/2022,04:44,Bhopal,DOMESTIC VIOLENCE,38,M,Medium,116,4.274793388,258485,36068,41867863,8441585,3.42509832,2797,2077,507,112,21
01/06/2022,19:10,Pune,ILLEGAL POSSESSION,46,M,Medium,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/06/2022,00:14,Bangalore,COUNTERFEITING,70,M,Medium,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/06/2022,16:18,Mumbai,HOMICIDE,51,M,High,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/06/2022,06:41,Hyderabad,COUNTERFEITING,65,M,Medium,515,4.274544445,3195806,218055,277947015,84152124,3.616645649,3965,2622,1131,161,16
01/06/2022,17:49,Hyderabad,DRUG OFFENSE,31,F,Medium,515,4.274544445,3195806,218055,277947015,84152124,3.616645649,3965,2622,1131,161,16
01/06/2022,11:41,Surat,HOMICIDE,13,M,High,204,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.671963678,881,693,139,34,4
01/06/2022,10:17,Visakhapatnam,IDENTITY THEFT,47,M,Medium,110,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.319905213,3376,2578,588,158,22
01/06/2022,23:32,Faridabad,IDENTITY THEFT,49,F,Medium,63,4.098497496,801336,4067,375626,1402337,3.346810934,1756,1353,308,84,10
01/06/2022,19:14,Delhi,VANDALISM,45,M,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/07/2022,07:49,Delhi,TRAFFIC VIOLATION,15,F,Low,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/07/2022,17:16,Ahmedabad,BURGLARY,44,F,Medium,292,4.323777493,1281684,18810,140857519,31781697,3.209224917,2103,1671,351,73,8
01/07/2022,00:20,Mumbai,SEXUAL ASSAULT,22,F,High,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/07/2022,06:59,Ahmedabad,TRAFFIC VIOLATION,57,F,Low,292,4.323777493,1281684,18810,140857519,31781697,3.209224917,2103,1671,351,73,8
01/07/2022,19:35,Chennai,ROBBERY,12,M,High,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/07/2022,16:17,Nagpur,IDENTITY THEFT,28,M,Medium,213,4.20608339,228779,18062,2212756,4681599,3.400094473,2117,1463,529,117,7
01/07/2022,07:21,Pune,DRUG OFFENSE,66,F,Medium,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/07/2022,04:56,Agra,SHOPLIFTING,46,F,Medium,140,4.312571618,2144546,381097,304097743,63371614,3.559821096,2683,1900,692,75,9
01/07/2022,06:22,Delhi,IDENTITY THEFT,31,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/07/2022,08:57,Chennai,DOMESTIC VIOLENCE,19,M,Medium,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/08/2022,14:12,Hyderabad,COUNTERFEITING,20,M,Medium,515,4.274544445,3195806,218055,277947015,84152124,3.616645649,3965,2622,1131,161,16
01/08/2022,03:03,Mumbai,ILLEGAL POSSESSION,24,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/08/2022,03:24,Lucknow,SHOPLIFTING,41,F,Medium,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/08/2022,03:06,Visakhapatnam,TRAFFIC VIOLATION,44,M,Low,110,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.319905213,3376,2578,588,158,22
01/08/2022,13:47,Faridabad,BURGLARY,24,F,Medium,63,4.098497496,801336,4067,375626,1402337,3.346810934,1756,1353,308,84,10
01/08/2022,20:46,Hyderabad,SHOPLIFTING,48,M,Medium,515,4.274544445,3195806,218055,277947015,84152124,3.616645649,3965,2622,1131,161,16
01/08/2022,20:45,Delhi,TRAFFIC VIOLATION,52,F,Low,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/08/2022,05:41,Pune,TRAFFIC VIOLATION,44,M,Low,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/08/2022,16:15,Lucknow,ROBBERY,73,F,High,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/08/2022,20:17,Kolkata,ARSON,11,M,High,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/08/2022,15:27,Surat,EXTORTION,35,M,High,204,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.671963678,881,693,139,34,4
01/08/2022,07:37,Delhi,EXTORTION,53,M,High,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/08/2022,06:47,Delhi,VEHICLE - STOLEN,79,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/08/2022,23:53,Jaipur,DRUG OFFENSE,21,M,Medium,211,4.235464114,2692714,145038,264807021,84002227,3.683488647,15238,11161,3450,471,57
01/08/2022,07:17,Bangalore,BURGLARY,37,M,Medium,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/09/2022,13:19,Nagpur,PUBLIC INTOXICATION,69,F,Medium,213,4.20608339,228779,18062,2212756,4681599,3.400094473,2117,1463,529,117,7
01/09/2022,02:04,Mumbai,COUNTERFEITING,44,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/09/2022,17:36,Bangalore,ARSON,23,F,High,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/09/2022,20:56,Srinagar,PUBLIC INTOXICATION,51,F,Medium,57,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.970479705,271,207,55,8,1
01/09/2022,05:46,Delhi,FIREARM OFFENSE,62,M,High,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/09/2022,03:16,Rajkot,ROBBERY,33,F,High,52,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.424731183,186,154,20,11,1
01/09/2022,01:54,Mumbai,DRUG OFFENSE,26,M,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/09/2022,19:44,Ahmedabad,SHOPLIFTING,70,M,Medium,292,4.323777493,1281684,18810,140857519,31781697,3.209224917,2103,1671,351,73,8
01/09/2022,20:17,Jaipur,COUNTERFEITING,47,F,Medium,211,4.235464114,2692714,145038,264807021,84002227,3.683488647,15238,11161,3450,471,57
01/09/2022,08:18,Patna,SHOPLIFTING,44,F,Medium,112,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.810501382,2533,1919,530,65,14
01/09/2022,18:41,Ahmedabad,ARSON,54,M,High,292,4.323777493,1281684,18810,140857519,31781697,3.209224917,2103,1671,351,73,8
01/09/2022,12:28,Pune,SHOPLIFTING,35,F,Medium,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/09/2022,10:17,Delhi,IDENTITY THEFT,62,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/09/2022,12:26,Delhi,HOMICIDE,34,F,High,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/10/2022,14:27,Agra,COUNTERFEITING,48,F,Medium,140,4.312571618,2144546,381097,304097743,63371614,3.559821096,2683,1900,692,75,9
01/10/2022,04:15,Visakhapatnam,ARSON,79,F,High,110,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.319905213,3376,2578,588,158,22
01/10/2022,08:51,Kanpur,KIDNAPPING,37,F,High,181,4.294280443,50461,11101,8157518,2081919,3.855245232,2936,1680,1095,114,8
01/10/2022,11:12,Chennai,BURGLARY,36,M,Medium,439,4.170725757,2260919,190077,159336478,62122526,3.115402732,12738,8790,2839,801,114
01/10/2022,12:21,Ahmedabad,CYBERCRIME,23,F,Medium,292,4.323777493,1281684,18810,140857519,31781697,3.209224917,2103,1671,351,73,8
01/10/2022,05:09,Ghaziabad,DRUG OFFENSE,47,F,Medium,113,4.362302483,1271433,7079,5245914,2282573,2.823379275,3918,3026,574,291,16
01/10/2022,01:37,Mumbai,KIDNAPPING,70,M,High,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/10/2022,17:13,Surat,COUNTERFEITING,65,F,Medium,204,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.671963678,881,693,139,34,4
01/10/2022,04:17,Ghaziabad,HOMICIDE,29,M,High,113,4.362302483,1271433,7079,5245914,2282573,2.823379275,3918,3026,574,291,16
01/10/2022,14:06,Delhi,CYBERCRIME,65,M,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/10/2022,10:59,Bangalore,VEHICLE - STOLEN,74,F,Medium,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/10/2022,14:50,Bangalore,ARSON,27,M,High,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/10/2022,16:21,Kolkata,FRAUD,33,F,Medium,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/11/2022,10:24,Kolkata,SEXUAL ASSAULT,36,M,High,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/11/2022,18:17,Agra,SEXUAL ASSAULT,67,M,High,140,4.312571618,2144546,381097,304097743,63371614,3.559821096,2683,1900,692,75,9
01/11/2022,09:59,Delhi,VANDALISM,75,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/11/2022,19:59,Agra,CYBERCRIME,39,F,Medium,140,4.312571618,2144546,381097,304097743,63371614,3.559821096,2683,1900,692,75,9
01/11/2022,07:44,Lucknow,FIREARM OFFENSE,42,F,High,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/11/2022,23:35,Mumbai,FRAUD,75,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/11/2022,06:14,Mumbai,SHOPLIFTING,73,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/11/2022,08:59,Kolkata,DOMESTIC VIOLENCE,21,M,Medium,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/11/2022,05:41,Delhi,CYBERCRIME,54,M,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/11/2022,02:00,Kolkata,KIDNAPPING,23,F,High,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/11/2022,22:57,Kolkata,BURGLARY,20,M,Medium,443,4.186077998,2020667,126042,203886732,77492559,3.880890052,9932,7148,2307,336,54
01/11/2022,04:13,Delhi,SHOPLIFTING,47,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/11/2022,16:27,Hyderabad,DOMESTIC VIOLENCE,53,M,Medium,515,4.274544445,3195806,218055,277947015,84152124,3.616645649,3965,2622,1131,161,16
01/11/2022,01:27,Patna,HOMICIDE,19,F,High,112,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.810501382,2533,1919,530,65,14
01/11/2022,09:23,Pune,KIDNAPPING,45,F,High,407,4.340314136,1891826,136059,166847283,41961832,3.584702908,1582,1233,278,52,3
01/11/2022,01:31,Visakhapatnam,COUNTERFEITING,43,F,Medium,110,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.319905213,3376,2578,588,158,22
01/12/2022,10:06,Vasai,VEHICLE - STOLEN,25,F,Medium,62,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/12/2022,02:37,Jaipur,ASSAULT,57,M,Medium,211,4.235464114,2692714,145038,264807021,84002227,3.683488647,15238,11161,3450,471,57
01/12/2022,15:05,Bangalore,CYBERCRIME,59,F,Medium,606,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.405208758,29412,22179,4975,1302,141
01/12/2022,19:56,Delhi,ILLEGAL POSSESSION,74,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
